1;1;;High Sensitivity Seismograph Network Japan (NIED)
1;3;;Broadband Seismograph Network (NIED)
1;4;;OBS in the Sagami Bay, NIED
1;5;;Volcano Observation Network (NIED)
2;1;HSS;Hokkaido University
2;2;TOH;Tohoku University
2;3;ERI;University of Tokyo
2;4;KYT;Kyoto University
2;5;SHV;Kyushu University
2;6;HRS;Hirosaki University
2;7;NGY;Nagoya University
2;8;URS;Kochi University
2;9;;Kagoshima University
3;1;JMA;Japan Meteorological Agency (JMA)
3;2;;Japan Meteorological Agency Volcano (JMA)
4;1;;Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
5;1;;National Institute of Advanced Industrial Science and Technology (AIST)
6;1;;Geographical Survey Institute (GSI)
7;1;;Tokyo Metropolitan Government
7;2;;Hot Springs Research Institute of Kanagawa Prefecture
7;3;;Aomori Prefecture
7;5;;Shizuoka Prefecture
8;1;;Association for the Development of Earthquake Prediction
